uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,7
AC,OUTRAS,DOMICILIO,"< 9",M,12
AC,OUTRAS,HOSPITAL,"< 9",F,47
AC,OUTRAS,HOSPITAL,"< 9",M,45
AC,OUTRAS,OUTRO,"< 9",F,4
AC,OUTRAS,OUTRO,"< 9",M,3
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",F,2
AC,COVID,HOSPITAL,"< 9",M,9
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,15
AC,PNEUMONIA,HOSPITAL,"< 9",M,22
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,38
AC,SEPTICEMIA,HOSPITAL,"< 9",M,58
AC,SRAG,HOSPITAL,"< 9",F,3
AL,OUTRAS,DOMICILIO,"< 9",F,12
AL,OUTRAS,DOMICILIO,"< 9",M,20
AL,OUTRAS,HOSPITAL,"< 9",F,216
AL,OUTRAS,HOSPITAL,"< 9",I,5
AL,OUTRAS,HOSPITAL,"< 9",M,258
AL,OUTRAS,IGNORADO,"< 9",M,1
AL,OUTRAS,OUTRO,"< 9",F,1
AL,OUTRAS,OUTRO,"< 9",M,2
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
AL,OUTRAS,VIA_PUBLICA,"< 9",F,2
AL,OUTRAS,VIA_PUBLICA,"< 9",M,4
AL,COVID,HOSPITAL,"< 9",F,7
AL,COVID,HOSPITAL,"< 9",M,5
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,22
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,34
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,14
AL,PNEUMONIA,HOSPITAL,"< 9",M,22
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,72
AL,SEPTICEMIA,HOSPITAL,"< 9",M,90
AL,SRAG,HOSPITAL,"< 9",F,3
AL,SRAG,HOSPITAL,"< 9",M,3
AM,OUTRAS,DOMICILIO,"< 9",F,23
AM,OUTRAS,DOMICILIO,"< 9",M,40
AM,OUTRAS,HOSPITAL,"< 9",F,284
AM,OUTRAS,HOSPITAL,"< 9",I,9
AM,OUTRAS,HOSPITAL,"< 9",M,320
AM,OUTRAS,IGNORADO,"< 9",M,1
AM,OUTRAS,OUTRO,"< 9",F,6
AM,OUTRAS,OUTRO,"< 9",M,12
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,COVID,HOSPITAL,"< 9",F,6
AM,COVID,HOSPITAL,"< 9",M,14
AM,COVID,OUTRO,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,HOSPITAL,"< 9",M,1
AM,INDETERMINADA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,31
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,32
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,3
AM,PNEUMONIA,DOMICILIO,"< 9",M,2
AM,PNEUMONIA,HOSPITAL,"< 9",F,46
AM,PNEUMONIA,HOSPITAL,"< 9",M,52
AM,PNEUMONIA,OUTRO,"< 9",F,1
AM,PNEUMONIA,OUTRO,"< 9",M,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",M,2
AM,SEPTICEMIA,HOSPITAL,"< 9",F,112
AM,SEPTICEMIA,HOSPITAL,"< 9",M,162
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AM,SRAG,HOSPITAL,"< 9",F,5
AM,SRAG,HOSPITAL,"< 9",M,8
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,HOSPITAL,"< 9",F,32
AP,OUTRAS,HOSPITAL,"< 9",M,30
AP,OUTRAS,OUTRO,"< 9",F,4
AP,OUTRAS,OUTRO,"< 9",M,4
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",M,2
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,5
AP,PNEUMONIA,HOSPITAL,"< 9",M,7
AP,PNEUMONIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,19
AP,SEPTICEMIA,HOSPITAL,"< 9",M,20
AP,SEPTICEMIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",F,3
BA,OUTRAS,DOMICILIO,"< 9",F,44
BA,OUTRAS,DOMICILIO,"< 9",M,64
BA,OUTRAS,HOSPITAL,"< 9",F,577
BA,OUTRAS,HOSPITAL,"< 9",I,29
BA,OUTRAS,HOSPITAL,"< 9",M,684
BA,OUTRAS,IGNORADO,"< 9",I,1
BA,OUTRAS,IGNORADO,"< 9",M,4
BA,OUTRAS,OUTRO,"< 9",F,5
BA,OUTRAS,OUTRO,"< 9",M,7
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,22
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,36
BA,OUTRAS,VIA_PUBLICA,"< 9",F,6
BA,OUTRAS,VIA_PUBLICA,"< 9",M,5
BA,COVID,HOSPITAL,"< 9",F,14
BA,COVID,HOSPITAL,"< 9",I,1
BA,COVID,HOSPITAL,"< 9",M,23
BA,COVID,OUTRO,"< 9",F,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INDETERMINADA,DOMICILIO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,3
BA,INDETERMINADA,HOSPITAL,"< 9",M,2
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,5
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,190
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,4
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,242
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,9
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,4
BA,PNEUMONIA,DOMICILIO,"< 9",F,3
BA,PNEUMONIA,HOSPITAL,"< 9",F,47
BA,PNEUMONIA,HOSPITAL,"< 9",M,51
BA,PNEUMONIA,IGNORADO,"< 9",F,1
BA,PNEUMONIA,OUTRO,"< 9",F,1
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,216
BA,SEPTICEMIA,HOSPITAL,"< 9",I,2
BA,SEPTICEMIA,HOSPITAL,"< 9",M,288
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,8
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
BA,SRAG,HOSPITAL,"< 9",F,13
BA,SRAG,HOSPITAL,"< 9",M,12
CE,OUTRAS,AMBULANCIA,"< 9",F,2
CE,OUTRAS,DOMICILIO,"< 9",F,19
CE,OUTRAS,DOMICILIO,"< 9",M,27
CE,OUTRAS,HOSPITAL,"< 9",F,513
CE,OUTRAS,HOSPITAL,"< 9",I,18
CE,OUTRAS,HOSPITAL,"< 9",M,556
CE,OUTRAS,IGNORADO,"< 9",F,29
CE,OUTRAS,IGNORADO,"< 9",M,31
CE,OUTRAS,OUTRO,"< 9",F,13
CE,OUTRAS,OUTRO,"< 9",M,11
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,13
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,16
CE,OUTRAS,VIA_PUBLICA,"< 9",F,4
CE,OUTRAS,VIA_PUBLICA,"< 9",I,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,3
CE,COVID,HOSPITAL,"< 9",F,23
CE,COVID,HOSPITAL,"< 9",M,17
CE,COVID,IGNORADO,"< 9",M,3
CE,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,3
CE,INDETERMINADA,HOSPITAL,"< 9",M,6
CE,INDETERMINADA,OUTRO,"< 9",M,1
CE,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,5
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,36
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,51
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,5
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,7
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,39
CE,PNEUMONIA,HOSPITAL,"< 9",M,43
CE,PNEUMONIA,IGNORADO,"< 9",F,4
CE,PNEUMONIA,IGNORADO,"< 9",M,5
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,99
CE,SEPTICEMIA,HOSPITAL,"< 9",M,149
CE,SEPTICEMIA,IGNORADO,"< 9",F,7
CE,SEPTICEMIA,IGNORADO,"< 9",M,12
CE,SEPTICEMIA,OUTRO,"< 9",M,1
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
CE,SRAG,HOSPITAL,"< 9",F,9
CE,SRAG,HOSPITAL,"< 9",M,5
DF,OUTRAS,DOMICILIO,"< 9",F,7
DF,OUTRAS,DOMICILIO,"< 9",M,2
DF,OUTRAS,HOSPITAL,"< 9",F,138
DF,OUTRAS,HOSPITAL,"< 9",I,4
DF,OUTRAS,HOSPITAL,"< 9",M,173
DF,OUTRAS,IGNORADO,"< 9",F,15
DF,OUTRAS,IGNORADO,"< 9",M,14
DF,OUTRAS,OUTRO,"< 9",M,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
DF,OUTRAS,VIA_PUBLICA,"< 9",F,2
DF,COVID,HOSPITAL,"< 9",F,4
DF,COVID,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,HOSPITAL,"< 9",F,8
DF,INDETERMINADA,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,IGNORADO,"< 9",M,2
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,40
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,PNEUMONIA,HOSPITAL,"< 9",F,11
DF,PNEUMONIA,HOSPITAL,"< 9",M,17
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,SEPTICEMIA,DOMICILIO,"< 9",M,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,79
DF,SEPTICEMIA,HOSPITAL,"< 9",M,81
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SRAG,HOSPITAL,"< 9",F,7
DF,SRAG,HOSPITAL,"< 9",M,4
ES,OUTRAS,DOMICILIO,"< 9",F,9
ES,OUTRAS,DOMICILIO,"< 9",M,18
ES,OUTRAS,HOSPITAL,"< 9",F,145
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,164
ES,OUTRAS,OUTRO,"< 9",F,3
ES,OUTRAS,OUTRO,"< 9",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,OUTRAS,VIA_PUBLICA,"< 9",F,2
ES,OUTRAS,VIA_PUBLICA,"< 9",M,3
ES,COVID,HOSPITAL,"< 9",F,8
ES,COVID,HOSPITAL,"< 9",M,8
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,11
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",M,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,20
ES,PNEUMONIA,HOSPITAL,"< 9",M,28
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
ES,SEPTICEMIA,DOMICILIO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,81
ES,SEPTICEMIA,HOSPITAL,"< 9",M,91
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,18
GO,OUTRAS,DOMICILIO,"< 9",M,14
GO,OUTRAS,HOSPITAL,"< 9",F,156
GO,OUTRAS,HOSPITAL,"< 9",I,2
GO,OUTRAS,HOSPITAL,"< 9",M,193
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,2
GO,OUTRAS,OUTRO,"< 9",F,8
GO,OUTRAS,OUTRO,"< 9",M,9
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,14
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,20
GO,OUTRAS,VIA_PUBLICA,"< 9",F,3
GO,OUTRAS,VIA_PUBLICA,"< 9",M,4
GO,COVID,HOSPITAL,"< 9",F,3
GO,COVID,HOSPITAL,"< 9",M,5
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,3
GO,INDETERMINADA,IGNORADO,"< 9",M,1
GO,INDETERMINADA,OUTRO,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,53
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,54
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
GO,PNEUMONIA,DOMICILIO,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,34
GO,PNEUMONIA,HOSPITAL,"< 9",M,31
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,114
GO,SEPTICEMIA,HOSPITAL,"< 9",I,1
GO,SEPTICEMIA,HOSPITAL,"< 9",M,114
